states,x,y
Andhra Pradesh,-70,-146
Assam,204,114
Arunachal Pradesh,228,161
Bihar,60,93
Goa,-174,-139
Gujarat,-222,36
Jammu And Kashmir,-115,284
Jharkhand,51,43
West Bengal,101,36
Karnataka,-144,-154
Kerala,-128,-247
Madhya Pradesh,-102,35
Maharashtra,-153,-56
Manipur,229,81
Meghalaya,169,96
Mizoram,209,46
Nagaland,238,111
Orissa,41,-21
Punjab,-145,206
Rajasthan,-179,120
Sikkim,115,139
Tamil Nadu,-86,-238
Tripura,183,58
Uttarakhand,-69,187
Uttar Pradesh,-43,119
Haryana,-127,165
Himachal Pradesh,-107,230
Chhattisgarh,-14,-3
Telangana,-76,-84
